event_type,timestamp_s,sample_index,channel,polarity,amplitude_uv,label,raw_label,onset_s,duration_s
ADM,0.1796875,23.0,F7,DN,-412.1353009603106,,,,
ADM,0.2578125,33.0,O1,UP,454.1699429989439,,,,
ADM,0.3046875,39.0,F7,UP,428.0939089574976,,,,
ADM,0.421875,54.0,O1,DN,-407.6200833995645,,,,
ADM,0.96875,124.0,O2,UP,418.4139649778998,,,,
ADM,0.9765625,125.0,O1,UP,429.1357603591618,,,,
ADM,1.1484375,147.0,O2,DN,-409.8110643287551,,,,
ADM,1.2109375,155.0,F7,DN,-403.97780097242594,,,,
ADM,1.234375,158.0,O1,DN,-425.77104943405095,,,,
ADM,1.25,160.0,C3,DN,-510.98817163866465,,,,
ADM,1.25,160.0,F3,DN,-666.5091253716772,,,,
ADM,1.25,160.0,Fz,UP,442.3061036329632,,,,
ADM,1.2578125,161.0,Cz,DN,-415.0497375263847,,,,
ADM,1.2578125,161.0,F8,UP,560.1434437476679,,,,
ADM,1.2578125,161.0,Fp2,UP,403.29100234236734,,,,
ADM,1.28125,164.0,Pz,DN,-468.1816773511673,,,,
ADM,1.3203125,169.0,F7,DN,-501.9933342848169,,,,
ADM,1.3203125,169.0,Fp1,DN,-457.3510860867944,,,,
ADM,1.3203125,169.0,P3,UP,476.12107089366054,,,,
ADM,1.3203125,169.0,T4,UP,403.069800583037,,,,
ADM,1.328125,170.0,O1,UP,488.06868547642466,,,,
ADM,1.3359375,171.0,F4,UP,480.00594954569846,,,,
ADM,1.375,176.0,T5,UP,413.1077252869993,,,,
ADM,1.390625,178.0,O2,UP,451.21414445001807,,,,
ADM,1.390625,178.0,Pz,UP,446.42821682955264,,,,
ADM,1.3984375,179.0,F7,UP,408.73136598662455,,,,
ADM,1.3984375,179.0,T3,DN,-412.5260457769605,,,,
ADM,1.3984375,179.0,T6,UP,402.32927499300115,,,,
ADM,1.421875,182.0,Fz,DN,-434.0864567609835,,,,
ADM,1.421875,182.0,O1,DN,-421.8132098289617,,,,
ADM,1.4296875,183.0,F3,UP,494.3561094925639,,,,
ADM,1.4375,184.0,P3,DN,-433.17555652712025,,,,
ADM,1.4453125,185.0,Fp1,UP,435.5777236646134,,,,
ADM,1.453125,186.0,Cz,UP,434.13680757162535,,,,
ADM,1.453125,186.0,F8,DN,-441.8326174409587,,,,
ADM,1.4609375,187.0,C3,UP,474.2368244493348,,,,
ADM,1.4609375,187.0,T5,DN,-455.6348841238339,,,,
ADM,1.46875,188.0,F7,UP,412.76854636832286,,,,
ADM,1.4765625,189.0,T4,DN,-402.3709930843711,,,,
ADM,1.4921875,191.0,Fp2,DN,-423.98927134974247,,,,
ADM,1.5,192.0,F4,DN,-407.42022667003295,,,,
ADM,1.5390625,197.0,T3,UP,413.60491038078214,,,,
ADM,1.578125,202.0,O2,DN,-418.9688465258621,,,,
ADM,1.6484375,211.0,T6,DN,-409.12076358689643,,,,
ADM,1.671875,214.0,T5,UP,435.6382430883593,,,,
ADM,1.75,224.0,F7,DN,-406.8184702773448,,,,
ADM,1.765625,226.0,Pz,DN,-401.54840077087135,,,,
ADM,1.8671875,239.0,F8,DN,-452.6830694791736,,,,
ADM,1.875,240.0,F3,DN,-521.679326486512,,,,
ADM,1.875,240.0,Fz,UP,498.55491590024207,,,,
ADM,1.875,240.0,O1,UP,482.6067174302007,,,,
ADM,1.8828125,241.0,C3,DN,-432.94035901113733,,,,
ADM,1.8828125,241.0,P3,UP,429.4199840017139,,,,
ADM,1.8984375,243.0,Fp2,UP,432.70851023474955,,,,
ADM,1.9375,248.0,F7,DN,-406.71966358417234,,,,
ADM,1.9375,248.0,Fp2,DN,-445.19643609445257,,,,
ADM,1.9375,248.0,P4,UP,406.55452759933377,,,,
ADM,1.9375,248.0,Pz,UP,446.0423680152996,,,,
ADM,1.9453125,249.0,C4,UP,434.5214237332971,,,,
ADM,1.9453125,249.0,Cz,UP,473.0758123633971,,,,
ADM,1.9453125,249.0,Fp1,DN,-519.6167233086653,,,,
ADM,1.9453125,249.0,Fz,DN,-448.5797238645971,,,,
ADM,1.9453125,249.0,T5,UP,435.7665980069441,,,,
ADM,1.953125,250.0,T6,UP,407.0389837451453,,,,
ADM,1.96875,252.0,T4,UP,501.63109535522153,,,,
ADM,2.015625,258.0,P3,DN,-403.0507046588933,,,,
ADM,2.0234375,259.0,F7,UP,475.8236589416489,,,,
ADM,2.0234375,259.0,F8,UP,473.1489522776883,,,,
ADM,2.0234375,259.0,Fp1,UP,449.461033832389,,,,
ADM,2.03125,260.0,Cz,DN,-448.9149351567353,,,,
ADM,2.03125,260.0,F4,DN,-407.33107986949886,,,,
ADM,2.03125,260.0,Fp2,UP,406.3802962338963,,,,
ADM,2.03125,260.0,T3,DN,-454.82762032058446,,,,
ADM,2.0390625,261.0,T5,DN,-436.92813992888944,,,,
ADM,2.0625,264.0,C4,DN,-495.7024533760485,,,,
ADM,2.0703125,265.0,O2,UP,676.4806501453088,,,,
ADM,2.078125,266.0,Cz,DN,-443.96862129988807,,,,
ADM,2.078125,266.0,Fz,UP,420.35972056923225,,,,
ADM,2.078125,266.0,Pz,UP,513.770770945821,,,,
ADM,2.078125,266.0,T4,DN,-474.8296268254906,,,,
ADM,2.0859375,267.0,F3,UP,753.6244194167199,,,,
ADM,2.0859375,267.0,Fp2,UP,437.2855336933554,,,,
ADM,2.09375,268.0,F4,UP,454.02129709244093,,,,
ADM,2.09375,268.0,O1,DN,-769.982057267188,,,,
ADM,2.1015625,269.0,F7,DN,-608.2880759274171,,,,
ADM,2.1015625,269.0,P3,UP,800.2171723768053,,,,
ADM,2.109375,270.0,Fp1,DN,-635.8885289965381,,,,
ADM,2.1171875,271.0,Cz,UP,505.18284156302235,,,,
ADM,2.1171875,271.0,P4,DN,-415.7109933905292,,,,
ADM,2.1171875,271.0,Pz,DN,-584.3473807854581,,,,
ADM,2.1171875,271.0,T5,DN,-495.45801701458174,,,,
